web-scraper-order,web-scraper-start-url,category_link,category_link-href,subcategory_link,subcategory_link-href,product_link,product_link-href,name,entero,decimal
"1572319883-130","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Verduras Picadas y Preparadas (23)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/verduras-picadas-y-preparadas?PS=24","Verdura Picada para Arroz con Pollo LA FLORENCIA Bandeja 200g","https://www.plazavea.com.pe/verdura-picada-para-arroz-con-pollo-la-florencia-bandeja-200g/p","Verdura Picada para Arroz con Pollo LA FLORENCIA Bandeja 200g","6",".99"
"1572320504-244","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Papaya, Mango y Piña (6)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/papaya-mango-y-pina?PS=24","Piña Hawai","https://www.plazavea.com.pe/pina-hawai/p","Piña Hawai","1",".49"
"1572320548-254","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Maracuyá, Granadilla y Tumbo (3)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/maracuya-granadilla-y-tumbo?PS=24","Granadilla Oxapampa x unidad","https://www.plazavea.com.pe/granadilla-oxapampa-x-unidad/p","Granadilla Oxapampa x unidad","0",".69"
"1572320528-250","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Sandía, Melón y Tuna (3)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/sandia-melon-y-tuna?PS=24","Melón en Trozos SOLEI Empaque 300g","https://www.plazavea.com.pe/melon-en-trozos-solei-empaque-300g/p","Melón en Trozos SOLEI Empaque 300g","5",".99"
"1572320470-236","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Plátanos y Uvas (8)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/platanos-y-uvas?PS=24","Plátano Isla LA FLORENCIA","https://www.plazavea.com.pe/platano-isla-la-florencia/p","Plátano Isla LA FLORENCIA","5",".49"
"1572320107-173","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Tomate, Pepino, Pimiento y Rocoto (7)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/tomate-pepino-pimiento-y-rocoto?PS=24","Pepinillo","https://www.plazavea.com.pe/pepinillo/p","Pepinillo","3",".69"
"1572320660-273","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Frutas Congeladas (3)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/frutas-congeladas?PS=24","Frambuesa Entera GREEN FOOD Bolsa 400g","https://www.plazavea.com.pe/frambuesa-entera-green-food-bolsa-400g/p","Frambuesa Entera GREEN FOOD Bolsa 400g","17",".19"
"1572320485-240","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Plátanos y Uvas (8)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/platanos-y-uvas?PS=24","Plátano Palillo","https://www.plazavea.com.pe/platano-palillo/p","Plátano Palillo","4",".99"
"1572320381-218","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Cebolla, Limón, Ajo y Ají (12)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/cebolla-limon-ajo-y-aji?PS=24","Ají Panca Seco LA FLORENCIA Bandeja 100g","https://www.plazavea.com.pe/aji-panca-seco-la-florencia-bandeja-100g/p","Ají Panca Seco LA FLORENCIA Bandeja 100g","8",".19"
"1572320496-242","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Papaya, Mango y Piña (6)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/papaya-mango-y-pina?PS=24","Mango Edward","https://www.plazavea.com.pe/mango-edward/p","Mango Edward","3",".49"
"1572320697-281","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Manzanas, Peras y Membrillos (8)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/manzanas-peras-y-membrillos?PS=24","Manzana Royal Gala Importada","https://www.plazavea.com.pe/manzana-royal-gala-importada/p","Manzana Royal Gala Importada","6",".99"
"1572320570-259","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Fresas, Arándanos, Aguaymanto y Frutas Berries (7)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/fresas-arandanos-aguaymanto-y-frutas-berries?PS=24","Blueberries LA FLORENCIA Bandeja 100g","https://www.plazavea.com.pe/blueberries-la-florencia-bandeja-100g/p","Blueberries LA FLORENCIA Bandeja 100g","5",".99"
"1572320318-212","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Apio, Espárrago y Otros Tallos (5)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/apio-esparrago-y-otros-tallos?PS=24","Espárrago Verde LA FLORENCIA Bolsa 320g","https://www.plazavea.com.pe/esparrago-verde-la-florencia-bolsa-320g/p","Espárrago Verde LA FLORENCIA Bolsa 320g","7",".30"
"1572320032-157","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Verduras Congeladas (8)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/verduras-congeladas?PS=24","Papa Prefrita COCINERO Bolsa 750g","https://www.plazavea.com.pe/papa-prefrita-cocinero-bolsa-750g/p","Papa Prefrita COCINERO Bolsa 750g","6",".20"
